PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,TRANSPORTE,METRO,BUS,RENFE,BICIMAD,APARCAMIENTOS,ACCESIBILIDAD,CONTENT-URL,DIRECCION,NUM,DISTRITO,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO
190703,Centro Juvenil El Pardo,"Mira la programación mensual de cada uno de los centros juveniles, encontrarás talleres, teatro, actividades, cesiones de espacios para tu música o tus ensayos, exposiciones; además Wifi gratuito, oficinas de información juvenil y un montón de cosas interesantes.  Información sobre las actividades y cesión de espacios   Correo:  actividadeselpardo@gmail.com    Teléfono: 913 760 652 Consulta la programación aquí  Para inscribirte en la actividad que más te guste cumplimenta y envía este formulario.",Apertura del centro los martes a sábado de 13 a 21 horas.,|BUS: desde el intercambiador de Moncloa el 601 (isla 3-dársena 30) y el 602 que sale del hospital Universitario la Paz.,Sin metro,desde el intercambiador de Moncloa el 601 (isla 3-dársena 30) y el 602 que sale del hospital Universitario la Paz.,Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=617ef50ad2a30110VgnVCM1000000b205a0aRCRD,AVENIDA PADRE CIPRIANO,11,FUENCARRAL-EL PARDO,40.51964199418355,-3.778542672958104,913 760 652 Móvil/WhatsApp: 653 39 89 57,cj3elpardo@madrid.es,OficinasInformacionJuvenil
182139,Centro Juvenil El Sitio de mi Recreo (Villa de Vallecas),"Mira la programación mensual de cada uno de los centros juveniles, encontrarás talleres, teatro, actividades, cesiones de espacios para tu música o tus ensayos, exposiciones; además Wifi gratuito, oficinas de información juvenil y un montón de cosas interesantes.  Información sobre las actividades y cesión de espacios:   Correo:  actividadeselrecreo@gmail.com    Teléfono: 913320198  Teléfono: 913 05 24 48  Horario de reserva cesiones de espacio y salas de ensayo: Lunes a jueves de 10:00 a 15:00 y de 16:00 a 19:00 h. Viernes de 9:00 a 15:30 h. Consulta la programación aquí  Para inscribirte en la actividad que más te guste cumplimenta y envía este formulario.",Horario de atención al público : De lunes a sábado de 10 a 15 horas y de 16 a 21 horas. Domingos de 12 a 15 horas y de 16 a 20 horas.  Horario de apertura y cierre: Lunes a domingo de 08.30- 21.30 h,"|METRO: Villa de Vallecas (línea 1)   |BUS: 54, 58, 103, 142, 143, N9  |RENFE: Vallecas",Villa de Vallecas (línea 1)   ,"54, 58, 103, 142, 143, N9  ",Vallecas,Vallecas,Vallecas,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9bd738d60b41c010VgnVCM2000000c205a0aRCRD,CALLE REAL DE ARGANDA,39,VILLA DE VALLECAS,40.37953682427198,-3.616901585603186,913 052 448 Móvil/WhatsApp: 606 00 04 09,cj6srecreo@madrid.es,OficinasInformacionJuvenil
5396226,Centro Juvenil Hontalbilla (Fuencarral - El Pardo),"Mira la programación mensual de cada uno de los centros juveniles, encontrarás talleres, teatro, actividades, cesiones de espacios para tu música o tus ensayos, exposiciones; además Wifi gratuito, oficinas de información juvenil y un montón de cosas interesantes.  Información sobre las actividades y cesión de espacios   Correo:  actividadeshontalbilla@gmail.com    Teléfono: 917 342 878 y 917 364 378 Consulta la programación aquí  Para inscribirte en la actividad que más te guste cumplimenta y envía este formulario.","Horario de apertura del centro:    Mañanas: de lunes a sábados, de: 9 a 15 horas Tardes:de lunes a sábados, de 16 a  21 horas  Agosto centro juvenil cerrado.","|METRO: Fuencarral (línea 10) |BUS: 66, 124 y 137, 154, N24 |RENFE: Madrid-Ramón y Cajal",Fuencarral (línea 10) ,"66, 124 y 137, 154, N24 ",Madrid-Ramón y Cajal,Madrid-Ramón y Cajal,Madrid-Ramón y Cajal,NOT ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=afc93331c9ee2210VgnVCM2000000c205a0aRCRD,CALLE HONTALBILLA,10,FUENCARRAL-EL PARDO,40.49231828430878,-3.6906342081203283,917 364 378 Móvil/WhatsApp: 606 00 38 52,cj4hontalbilla@madrid.es,OficinasInformacionJuvenil
11925994,Centro Juvenil Pipo Velasco (Usera),"Mira la programación mensual de cada uno de los centros juveniles, encontrarás talleres, teatro, actividades, cesiones de espacios para tu música o tus ensayos, exposiciones; además Wifi gratuito, oficinas de información juvenil y un montón de cosas interesantes.  Información sobre las actividades y cesión de espacios:   Correo: actividadespipo@gmail.com   Teléfono: 609619978 Consulta la programación aquí  Para inscribirte en la actividad que más te guste cumplimenta y envía este formulario .",Horario de apertura: de 9 a 22h.  Horario de atención al público: Todos los días.,"|METRO: Plaza Elíptica   |BUS:  6, 60, 78, 81",Plaza Elíptica   ," 6, 60, 78, 81",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a0d2795e39a36810VgnVCM2000001f4a900aRCRD,CALLE AVENA,5,USERA,40.37738097077752,-3.715659887802671,609619978,actividadespipo@gmail.com,OficinasInformacionJuvenil
4923522,Centro Juvenil Tetuán Punto Joven,"Mira la programación mensual de cada uno de los centros juveniles, encontrarás talleres, teatro, actividades, cesiones de espacios para tu música o tus ensayos, exposiciones; además Wifi gratuito, oficinas de información juvenil y un montón de cosas interesantes.  Información sobre las actividades y cesión de espacios   Correo:  tetuanpuntojoven@gmail.com    Teléfono: 915 347 744 Consulta la programación aquí  Para inscribirte en la actividad que más te guste cumplimenta y envía este formulario.","Los lunes de 13 a 21 horas. De martes a viernes de 10 a 21 horas, los sábados de 12 a 21 horas. Domingos y festivos: cerrado. Agosto: cerrado.","|METRO: Cuatro Caminos (líneas 1, 2 y 6) y Nuevos Ministerios (líneas 6, 8 y 10) |BUS: 5, 45, 66, 127, 128, 14 , C1, C2 |RENFE: Nuevos Ministerios","Cuatro Caminos (líneas 1, 2 y 6) y Nuevos Ministerios (líneas 6, 8 y 10) ","5, 45, 66, 127, 128, 14 , C1, C2 ",Nuevos Ministerios,Nuevos Ministerios,Nuevos Ministerios,NOT ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2f9e41aee5a2a110VgnVCM1000000b205a0aRCRD,CALLE DULCINEA,4,TETUAN,40.447199849232135,-3.6998771920981004,915 347 744 Móvil/WhatsApp: 606 00 37 79,cj1tetuan@madrid.es,OficinasInformacionJuvenil
4535757,Centro Sefarad - Israel,"Consorcio institucional creado el 18 de diciembre de 2006, mediante a un acuerdo entre el Ministerio de Asuntos Exteriores, Unión Europea y de Cooperación, la Comunidad de Madrid y el Ayuntamiento de Madrid.",,"|METRO: Sol (líneas 1, 2, 3), Ópera (líneas 2, 5 y R).  |BUS: 31, 50, 65, 148, 3.  |BICIMAD: Estaciones 9 (plaza San Miguel, 9), 36 (plaza de Ramales), 35 (plaza del Cordón, 1).  |RENFE: Sol (líneas C3, C3a, C4 y Regional).","Sol (líneas 1, 2, 3), Ópera (líneas 2, 5 y R).  ","31, 50, 65, 148, 3.  ","Sol (líneas C3, C3a, C4 y Regional).","Sol (líneas C3, C3a, C4 y Regional).","Sol (líneas C3, C3a, C4 y Regional).",NO INFORMATION,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9d50215a57131110VgnVCM2000000c205a0aRCRD,CALLE MAYOR,69,CENTRO,40.41532290628835,-3.711227065575005,913 911 002,centro@sefarad-israel.es,Consorcios
6396299,Centro Social Comunitario Josefa Amar,,De lunes a viernes de 9:30 a 20:30 horas. Sábados de 10 a 20 horas. Domingos de 10 a 14 y de 16 a 20 horas.,|METRO: Ventilla (línea 9).  |BUS: 177.,Ventilla (línea 9).  ,177.,Sin renfe,Sin renfe,Sin renfe,NOT ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=edda0bb16aba6310VgnVCM1000000b205a0aRCRD,CALLE MATILDE LANDA,30,TETUAN,40.4731994125293,-3.6940812660649414,917 330 258,socitetuan@madrid.es,CentrosSocialesComunitarios
4568753,Centro Social Polivalente de Vicálvaro,,Consultar,"|BUS: 100, 130",Sin metro,"100, 130",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=59c6ca957d152110VgnVCM1000000b205a0aRCRD,AVENIDA REAL,12,VICALVARO,40.40249219663602,-3.6070177881676537,917 602 468 (centralita),Sin email,CentrosCulturales
56495,Centro Sociocultural  Siena (Ciudad Lineal),,"De lunes a jueves, de 9 a 15 horas. Viernes, de 9 a 14 horas.   Julio y San Isidro, de lunes a viernes, de 9 a 14 horas.   Agosto cerrado.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Quintana (línea 5)   |BUS: 113, 38",Quintana (línea 5)   ,"113, 38",Sin renfe,Sin renfe,Sin renfe,NOT ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1114c2c6e051c010VgnVCM2000000c205a0aRCRD,CALLE SIENA,52,CIUDAD LINEAL,40.433168908505294,-3.651871341017642,914 039 011,cscsiena@madrid.es,CentrosCulturales
1936,Centro Sociocultural Alberto Sánchez (Puente de Vallecas),,"Atención al público: lunes a viernes, de 9 a 13:45 y de 17 a 18:45 horas. Julio, de lunes a viernes de 9 a 14 horas. Agosto cerrado.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Buenos Aires (línea 1), Portazgo (línea 1).  |BUS: 143, 54.","Buenos Aires (línea 1), Portazgo (línea 1).  ","143, 54.",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=20a43d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE RISCO DE PELOCHE,14,PUENTE DE VALLECAS,40.393619022093546,-3.6556016835101834,917 570 320,cscalbertosanchez@madrid.es,CentrosCulturales
72862,Centro Sociocultural Alfonso XII (Fuencarral - El Pardo),,"Horario del centro: de lunes a viernes, de 9 a  21:30 h.  Horario de secretaría: de lunes a viernes de 9 a 14 y de 16,30 a 20:30 h.",,Sin metro,Sin buses,Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b7d168540e41c010VgnVCM2000000c205a0aRCRD,CALLE MIRA EL RIO,4,FUENCARRAL-EL PARDO,40.519673311658686,-3.7779055687726535,913 762 060,ccelpardo@madrid.es,CentrosCulturales
1990,Centro Sociocultural Almirante Churruca (Latina),Información general en el teléfono: 91 509 05 81. Correo electrónico: ccchurruca@madrid.es . Información sobre cursos y talleres en los siguientes enlaces:   Plataforma cursos y talleres Ayuntamiento de Madrid.  Trámites cursos y talleres Ayuntamiento de Madrid.,Horario de verano:    Desde el 1 de julio hasta el 30 de octubre el horario de apertura es de 9 a 21 horas. El centro cierra por vacaciones del 1 al 27 de agosto ambos inclusive.    Horario de apertura del centro:  Lunes a Viernes de 9 a 21:30 horas. Sábados de 9 a 13:30 horas.  Horario de atención al público:  Lunes a Viernes de 9 a 14 horas y de 16:30 a 18:30 horas.,|METRO. Línea 10. Estación: Aviación Española. |BUS. Líneas: 17 y 34. |RENFE RENFE. Línea C 5. Estación: Las Águilas.,Línea 10. Estación: Aviación Española. ,Líneas: 17 y 34. ,Línea C 5. Estación: Las Águilas.,Línea C 5. Estación: Las Águilas.,Línea C 5. Estación: Las Águilas.,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=76c43d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE FUENTE DEL TIRO,72,LATINA,40.3829835905706,-3.7800890564106613,915 090 581 / 917 053 794,ccchurruca@madrid.es,CentrosCulturales
1974,Centro Sociocultural Aula de Aire Libre (Puente de Vallecas),,"Atención al público: lunes a viernes, de 9 a 13:45 y de 17 a 18:45 horas.  Durante el mes de julio, Semana Santa y Navidad, lunes a viernes de 9 a 14 horas. Agosto cerrado.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Portazgo (línea 1)  |BUS: 111, 24, 310",Portazgo (línea 1)  ,"111, 24, 310",Sin renfe,Sin renfe,Sin renfe,NOT ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=314e1e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE SIERRA CARBONERA,74,PUENTE DE VALLECAS,40.39009728291889,-3.665329063724782,917 570 189 / 915 887 325 / 915 887 105,aalibrepvallecas@madrid.es,CentrosCulturales
1927,Centro Sociocultural Blasco Ibáñez (Carabanchel),,"De lunes a jueves, de 10 a 13 y de 16:30 a 18:30 horas. Viernes, de 10 a 13 horas. Julio, de lunes a viernes, de 10 a 13 horas. Agosto, festivos y fines de semana, cerrado.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",|BUS: 119,Sin metro,119,Sin renfe,Sin renfe,Sin renfe,NOT ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fb453d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE SOLDADO JOSE MARIA REY,44,CARABANCHEL,40.394959912881816,-3.732764798621339,914 280 555,ccblascoibanez@madrid.es,CentrosCulturales
1949,Centro Sociocultural Bohemios (Villaverde),,De Secretaría:  horario de mañana: de lunes a viernes de 9 a 14 horas . Horario de tarde: de lunes a jueves de 17 a 19 horas.  Durante el mes de  julio el horario será de 9 a 14 horas.  De secretaría : Teléfono 917109260 / 917100558 en el horario que ya consta. Auxiliares de información: Teléfono 917109263.,"|BUS: 22 , 59 , 79 , 85 |METRO: Línea 3 Ciudad de los Ángeles",Línea 3 Ciudad de los Ángeles,"22 , 59 , 79 , 85 ",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=42753d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE LOS BOHEMIOS,1,VILLAVERDE,40.35639654251886,-3.6940501846610894,917 109 260,ccbohemios@madrid.es,CentrosCulturales
1967,Centro Sociocultural Ciudad Lineal,,"De lunes a viernes, de 9 a 14 horas.   Verano y San Isidro, de lunes a viernes, de 9 a 13 horas.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|BUS: 110, 113, 210, 15, 28",Sin metro,"110, 113, 210, 15, 28",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=16f81e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE POETA BLAS DE OTERO,81,CIUDAD LINEAL,40.422850906984415,-3.651682839770605,917 817 494 / 914 058 728,cscciudadlineal@madrid.es,CentrosCulturales
10344149,Centro Sociocultural Clara Campoamor (Retiro),"El Centro Sociocultural Clara Campoamor se encuentra en uno de los edificios de la Junta Municipal del Distrito de Retiro (el edificio más moderno). En este edificio, además del Centro Sociocultural se encuentran las oficinas de Línea Madrid y los despachos de los grupos políticos de la Junta.",De 9 a 14 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.,"|METRO: Pacífico (línea 1 y 6)  |BUS: 24, 37, 54, 57, 141  |BICIMAD: Estación 178 (calle León Gil de Palacio, 3)  |APARCAMIENTOS: Daoíz y Velarde (23), avenida Ciudad de Barcelona ( calle Alberche y calle Téllez)",Pacífico (línea 1 y 6)  ,"24, 37, 54, 57, 141  ",Sin renfe,Sin renfe,Sin renfe,"ACCESSIBLE,SIGN LANGUAGE,TACTILE PAVING",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0c057ab5c83db510VgnVCM2000001f4a900aRCRD,PLAZA DAOIZ Y VELARDE,2,RETIRO,40.402190438836826,-3.6772826298329093,915 886 348,culturetiro@madrid.es,CentrosCulturales
118935,Centro Sociocultural Cánovas del Castillo (Usera),,"De lunes a viernes, de 10 a 14 y de 17 a 19 horas. Julio, de lunes a viernes, de 10 a 14 horas. Agosto cerrado.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Almendrales (línea 3)  |BUS: 6, 78, 23, 123",Almendrales (línea 3)  ,"6, 78, 23, 123",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1087cbf06c81c010VgnVCM1000000b205a0aRCRD,CALLE JULIO AGUIRRE,10,USERA,40.38627312379031,-3.700074755609488,915 005 489,canovascastillocs@madrid.es,CentrosCulturales
1941,Centro Sociocultural Eduardo Chillida (Moratalaz),,"De lunes a viernes, de 9 a 13:30 y de 17 a 18:30 horas. Julio, de lunes a viernes, de 9 a 13:30 horas. Agosto cerrado.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Vinateros (línea 9)  |BUS: 71, 30, 32, 113",Vinateros (línea 9)  ,"71, 30, 32, 113",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=01963d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE ARROYO BELINCOSO,9,MORATALAZ,40.40934483353835,-3.653036718771371,913 339 141,ccechillida@madrid.es,CentrosCulturales
26904,Centro Sociocultural El Greco (Latina),Información general en el teléfono: 91 479 31 50. Correo electrónico: ccgreco@madrid.es  Información sobre cursos y talleres en los siguientes enlaces:   Plataforma cursos y talleres Ayuntamiento de Madrid.  Trámites cursos y talleres Ayuntamiento de Madrid.,"Horario de verano:   Julio, agosto y septiembre de 9 a 20:30 de lunes a viernes. Del 1 al 27 de agosto el Centro se encuentra cerrado.  Horario de apertura del centro:  Lunes a Viernes de 9 a 21:30 horas. Sábados de 9 a 13:30 horas.  Horario de atención al público:  Lunes a Viernes de 9:30 a 14 horas y de 16:30 a 19 horas.","|METRO. Línea 6, estación Lucero y línea 10, estación Batán. |BUS. Líneas: 33, 36, 39 y 65.","Línea 6, estación Lucero y línea 10, estación Batán. ","Líneas: 33, 36, 39 y 65.",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cae2b3e42751c010VgnVCM2000000c205a0aRCRD,CALLE EL GRECO,29,LATINA,40.407316328180464,-3.747465416906973,914 793 261 / 914 793 150,ccgreco@madrid.es,CentrosCulturales
1926,Centro Sociocultural García Lorca (Carabanchel),,"De lunes a jueves, de 10 a 13 horas y de 16:30 a 18 horas. Viernes, de 10 a 13 horas.  Julio, de lunes a viernes, de 10 a 13 horas.   Agosto y festivos, cerrado.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Carabanchel Alto (línea 11)  |BUS: 35, 47, 34, 139",Carabanchel Alto (línea 11)  ,"35, 47, 34, 139",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e6773d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE EUGENIA DE MONTIJO,105,CARABANCHEL,40.37420290010211,-3.7510337449848636,915 110 370,ccgarcialorca@madrid.es,CentrosCulturales
1947,Centro Sociocultural José de Espronceda (Tetuán),,"De lunes a jueves, de 9:30 a 13:30 y de 16:30 a 18 horas. Viernes, de 9:30 a 13:30 horas.  Julio, solo mañanas.   Agosto cerrado.    Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Cuatro Caminos (líneas 1, 2, 6)  |BUS: 3, 64, 66, 124, 128, 127, F","Cuatro Caminos (líneas 1, 2, 6)  ","3, 64, 66, 124, 128, 127, F",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=23881e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE ALMANSA,9,TETUAN,40.44864332758775,-3.704513191828797,915 536 160 / 915 536 480,cscjespronceda@madrid.es,CentrosCulturales
124354,Centro Sociocultural Juvenil de Moratalaz,,"De lunes a viernes, de 9 a 14 y de 17 a 19 horas.  Verano, lunes a viernes, de 9 a 14 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Pavones (línea 9)  |BUS: 142, 144, 8, 20, 32, 140",Pavones (línea 9)  ,"142, 144, 8, 20, 32, 140",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bf388899fc81c010VgnVCM1000000b205a0aRCRD,CALLE FUENTE CARRANTONA,10,MORATALAZ,40.39928542551079,-3.636600379403484,915 880 459,ccjmoratalaz@madrid.es,CentrosCulturales
1965,Centro Sociocultural Juvenil de Usera,,"De lunes a viernes, de 10 a 14 y de 17 a 19 horas. Julio, de lunes a viernes, de 10 a 14 horas. Agosto cerrado.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Usera (línea 6)  |BUS: 55, 60, 23",Usera (línea 6)  ,"55, 60, 23",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=876e1e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE CUESTA,4,USERA,40.38986587050054,-3.707459143903564,913 920 541,cjusera@madrid.es,CentrosCulturales
11189796,Centro Sociocultural Las Tablas (Fuencarral - El Pardo),,Lunes y miércoles de 9:30 a 13:30 horas Martes y jueves de 9:30 a 14:30 horas Viernes cerrado,"|METRO Las Tablas Línea 10 (L10) |BUS 172, 175 y 176",Las Tablas Línea 10 (L10) ,"172, 175 y 176",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f766b6f6751c2710VgnVCM1000001d4a900aRCRD,AVENIDA CAMINO DE SANTIAGO,39,FUENCARRAL-EL PARDO,40.496178544904275,-3.6742173844664605,915886883,cultufuencarral@madrid.es,CentrosCulturales
102131,Centro Sociocultural Latina,Información general en el teléfono: 91 509 54 70. Correo electrónico: juvenlatina@madrid.es . Información sobre cursos y talleres en los siguientes enlaces:   Plataforma cursos y talleres Ayuntamiento de Madrid.  Trámites cursos y talleres Ayuntamiento de Madrid.,Horario de verano:       El horario de apertura del Centro Sociocultural Latina es:   Mes de julio de 9 a 21 h de lunes a viernes. Desde el 1 hasta el 27 de agosto Cierre del Centro por vacaciones. Desde el 28 de agosto al 30 de septiembre de 9 a 21 h.  Horario de apertura del centro:  Lunes a Viernes de 9 a 21:30 horas. Sábados de 9 a 13:30 horas.  Horario de atención al público:  Lunes a Viernes de 9 a 14 horas.,|BUS. Línea 155. |RENFE RENFE. Línea C 5. Estación: Maestra Justa Freire-Polideportivo Aluche (antigua estación de Fanjul).,Sin metro,Línea 155. ,Línea C 5. Estación: Maestra Justa Freire-Polideportivo Aluche (antigua estación de Fanjul).,Línea C 5. Estación: Maestra Justa Freire-Polideportivo Aluche (antigua estación de Fanjul).,Línea C 5. Estación: Maestra Justa Freire-Polideportivo Aluche (antigua estación de Fanjul).,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a4ed8899fc81c010VgnVCM1000000b205a0aRCRD,CALLE RODRIGO DE ARANA,50,LATINA,40.3796366471018,-3.7659492448759053,915 095 470 / 915 095 471,juvenlatina@madrid.es,CentrosCulturales
1961,Centro Sociocultural Luis Gonzaga (Chamartín),,"De lunes a jueves, de 9:30 a 14 horas y de 16:30 a 18:30 horas.   Viernes, de 9:30 a 14 horas y de 16:30 a 17:30 horas.    Verano, de lunes a viernes, de 9:30 a 14 horas.   Agosto cerrado.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Cruz del Rayo (línea 9)  |BUS: 29, 52, 1  |BICIMAD: Estación 146 (calle María Francisca, 1)",Cruz del Rayo (línea 9)  ,"29, 52, 1  ",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ba8b3d232e91f010VgnVCM1000000b205a0aRCRD,CALLE PRINCIPE DE VERGARA,142,CHAMARTIN,40.44489723228663,-3.6780972922453685,915 886 596 / 915 885 219,juvenlgonzaga@madrid.es,CentrosCulturales
1909,Centro Sociocultural Maestro Alonso (Salamanca),,"De lunes a viernes, de 9 a 14 y de 15 a 18 horas (viernes tarde de 15 a 17 horas) Verano, de lunes a viernes, de 8 a 15 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.","|METRO: Ventas (líneas 2, 5)  |BUS: 12, 21, 53, 106, 110, 146, 210, 38  |BICIMAD: Estación 187 (calle Alejandro González, 1)","Ventas (líneas 2, 5)  ","12, 21, 53, 106, 110, 146, 210, 38  ",Sin renfe,Sin renfe,Sin renfe,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=783f1e79ee71c010VgnVCM1000000b205a0aRCRD,CALLE MAESTRO ALONSO,6,SALAMANCA,40.42938854032785,-3.664855511110751,917 268 800,ccmaestroalonso@tritoma.es,CentrosCulturales
170066,Centro Sociocultural Marconi (Villaverde),,"El Centro Sociocultural Marconi estará abierto de 9:00 a 21:00 h ininterrumpidamente, de lunes a viernes, excepto en el mes de agosto que permanecerá cerrado. Secretaría: de lunes a jueves de 9:30 a 13:30 y de 16:45 a 19:15 y viernes de 9:30 a 13:30 horas. Horario de Navidad:  de 9:00 a 14:00 horas, de lunes a viernes.  Durante el mes de julio el horario será de 9:00 a 14:00 horas, de lunes a viernes.",|BUS: 79  |RENFE: San Cristóbal Industrial,Sin metro,79  ,San Cristóbal Industrial,San Cristóbal Industrial,San Cristóbal Industrial,ACCESSIBLE,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6cb0085f5181c010VgnVCM1000000b205a0aRCRD,ACCESO COLONIA MARCONI,4,VILLAVERDE,40.334751832113774,-3.700809560921597,917 100 232,ccmarconi@madrid.es,CentrosCulturales
