Station Name,Street Address,City,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,New Georeferenced Column,Counties,Zip Code,Town Index,Planning Regions
Brass Mill Center - Entrance 3,495 Union St,Waterbury,6am-12pm daily,NONE,4,NONE,NONE,POINT (-73.023973 41.549008),1044,194,151,4
COMM LOT STA 1,13 Durant Ave.,Bethel,24 hours daily,NONE,2,NONE,NONE,POINT (-73.4178034 41.3762377),1040,77,9,9
Waterbury-Oxford Airport,300 Christian St,Oxford,24 hours daily,NONE,2,NONE,NONE,POINT (-73.146142 41.477151000000006),1044,12,108,4
Shagbark Lumber and Farm Supply,1 Mt Parnassus Millington Rd,East Haddam,24 hours daily,NONE,1,NONE,NONE,POINT (-72.442533 41.463278),1043,192,41,3
Metro Green Residential Parking - Tesla Destination,717  Atlantic St,Stamford,24 hours daily,NONE,3,NONE,NONE,POINT (-73.540098 41.04514),1040,7,135,9
Hartford Road Henny Penny,969 Hartford Road,Waterford,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,NONE,2,NONE,NONE,POINT (-72.1591426 41.3874871),1045,140,152,8
FOXWOODS,101 Trolley Line Blvd,Mashantucket,24 hours daily,NONE,2,NONE,NONE,POINT (-71.9523342 41.469981700000005),1045,66,72,8
Convention Center - Hartford,100 Columbus Blvd,Hartford,24 hours daily; pay lot,NONE,6,NONE,NONE,POINT (-72.668973 41.762852),1041,82,64,1
County Line Buick-Nissan,2191 Straits Turnpike,Middlebury,Dealership business hours,NONE,1,NONE,NONE,POINT (-73.098764 41.568122),1044,200,81,4
MYSTIC AQUARIUM,55 Coogan Blvd,Mystic,24 hours daily,NONE,NONE,1,NONE,POINT (-71.954088 41.373074),1045,135,137,8
University of Connecticut - Waterbury,99 E Main St,Waterbury,24 hours daily,NONE,2,NONE,NONE,POINT (-73.038135 41.555816),1044,167,151,4
Danbury Parking Authority,21 Delay St,Danbury,Garage business hours,NONE,2,NONE,NONE,POINT (-73.451059 41.396042),1040,1,34,9
INFINITYGREEN,201 Commons Park S,Stamford,24 hours daily,NONE,2,NONE,NONE,POINT (-73.5405387 41.040838),1040,7,135,9
City of Hartford - City Hall,35 Arch St,Hartford,24 hours daily,NONE,1,NONE,NONE,POINT (-72.672842 41.762206),1041,82,64,1
White Hart Inn - Tesla Destination,15 Undermountain Rd,Salisbury,24 hours daily; for customer use only,NONE,1,NONE,NONE,POINT (-73.42219800000001 41.98483),1042,268,122,6
Premier Subaru,155 N Main St,Branford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.813257 41.287914),1044,170,14,7
Central Connecticut State University - Student Center Parking Garage,165 Ella Grasso Blvd,New Britain,24 hours daily,NONE,3,NONE,NONE,POINT (-72.7663278757019 41.6938875513217),1041,110,89,1
University of Connecticut - South Parking Garage,505 Jim Calhoun Way,Storrs,Garage business hours,NONE,2,NONE,NONE,POINT (-72.253601 41.805152),38,69,78,1
Carter Chevrolet,175 Hartford Turnpike,Vernon,Dealership business hours,NONE,2,1,NONE,POINT (-72.5009065449829 41.8218766595564),38,248,146,1
Dunkin' Donuts,189 Forbes Ave,New Haven,24 hours daily,NONE,NONE,1,NONE,POINT (-72.9 41.294167),1044,130,93,7
Bloomfield Human Services Center,330 Park Avenue,Bloomfield,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,2,NONE,NONE,POINT (-72.712466 41.8234945),1041,224,11,1
Grand Central Fashion Plaza Shopping Center - Tesla Supercharger,1145 High Ridge Rd,North Stamford,24 hours daily; for Tesla use only,NONE,NONE,8,NONE,POINT (-73.546513 41.107722),1040,84,135,9
University of Connecticut - North Parking Garage,103 N Eagleville Rd,Storrs,Garage business hours,NONE,2,NONE,NONE,POINT (-72.258277 41.809176),38,69,78,1
Fairfield SB - Tesla Supercharger,267 Round Hill Road,Fairfield,24 hours daily; for Tesla use only,NONE,NONE,8,NONE,POINT (-73.255573 41.14807),1040,111,51,2
Fairfield Woods Library,1147 Fairfield Woods Rd,Fairfield,24 hours daily,NONE,1,NONE,NONE,POINT (-73.250024 41.187855),1040,174,51,2
Yankee Doodle,10 Burnell Boulevard,Norwalk,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,NONE,1,NONE,NONE,POINT (-73.414932 41.11803),1040,204,103,9
Lee Partyka Chevrolet Mazda Isuzu,200 Skiff St,Hamden,Dealership business hours,NONE,3,NONE,NONE,POINT (-72.9100121 41.3729709),1044,198,62,7
777 MAIN ST,71 Asylum St,Hartford,24 hours daily,NONE,10,1,NONE,POINT (-72.674468 41.766676),1041,82,64,1
Norwich Public Utilities,173 N Main St,Norwich,24 hours daily,NONE,4,NONE,NONE,POINT (-72.063516 41.52757900000001),1045,14,104,8
Fairfield Plaza,116 Danbury Rd,New Milford,24 hours daily,NONE,NONE,1,NONE,POINT (-73.41763 41.55735),1042,88,96,9
Eastern Connecticut State University - Shakespeare Parking Garage,24 Charger Oak Dr,Willimantic,24 hours daily,NONE,4,NONE,NONE,POINT (-72.208134 41.7385909),38,32,78,1
